mlbid,PA,AB,pitches,AVG,K,K%,BB,BB%,obp,SLG,OPS,ISO,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway%
641712,191,161,720,0.311,22,11.52,28,14.66,0.414,0.522,0.9359999999999999,0.21100000000000002,274,44,16.06,6.11,133,18.47,24.58,14.79,13.25
592836,186,163,718,0.294,27,14.52,20,10.75,0.366,0.528,0.894,0.23400000000000004,309,49,15.86,6.82,132,18.38,25.21,22.55,14.92
647336,172,141,718,0.22,41,23.84,27,15.7,0.345,0.411,0.756,0.19099999999999998,306,71,23.2,9.89,113,15.74,25.63,23.72,19.81
621111,178,159,717,0.296,37,20.79,15,8.43,0.362,0.528,0.89,0.23200000000000004,331,62,18.73,8.65,134,18.69,27.34,25.81,15.68
608334,179,156,713,0.282,33,18.44,18,10.06,0.362,0.487,0.849,0.20500000000000002,313,83,26.52,11.64,120,16.83,28.47,29.48,17.01
808967,176,157,712,0.185,49,27.84,15,8.52,0.253,0.248,0.501,0.063,320,84,26.25,11.8,143,20.08,31.88,29.19,21.78
663978,193,178,709,0.303,32,16.58,12,6.22,0.347,0.455,0.802,0.15200000000000002,359,75,20.89,10.58,109,15.37,25.95,32.03,15.76
668909,174,151,703,0.219,44,25.29,17,9.77,0.301,0.344,0.645,0.12499999999999997,356,92,25.84,13.09,110,15.65,28.73,30.18,17.81
656731,174,148,698,0.23,50,28.74,19,10.92,0.322,0.358,0.6799999999999999,0.12799999999999997,342,99,28.95,14.18,95,13.61,27.79,29.62,24.02
596133,162,142,684,0.162,53,32.72,16,9.88,0.253,0.261,0.514,0.099,317,125,39.43,18.27,112,16.37,34.65,33.08,25.24
605397,168,151,674,0.212,42,25.0,11,6.55,0.277,0.325,0.6020000000000001,0.11300000000000002,304,95,31.25,14.09,116,17.21,31.31,24.34,20.19
542881,178,154,669,0.221,32,17.98,20,11.24,0.326,0.422,0.748,0.20099999999999998,309,77,24.92,11.51,101,15.1,26.61,25.14,18.6
650556,167,143,669,0.266,45,26.95,19,11.38,0.365,0.427,0.792,0.16099999999999998,305,93,30.49,13.9,120,17.94,31.84,25.76,23.32
669358,167,146,668,0.164,33,19.76,18,10.78,0.263,0.315,0.5780000000000001,0.151,332,78,23.49,11.68,94,14.07,25.75,22.77,15.49
676130,153,119,660,0.118,36,23.53,29,18.95,0.289,0.21,0.499,0.092,260,80,30.77,12.12,97,14.7,26.82,27.0,22.36
640455,158,145,645,0.248,47,29.75,11,6.96,0.31,0.428,0.738,0.18,294,78,26.53,12.09,125,19.38,31.47,25.53,22.93
608331,157,140,644,0.321,38,24.2,14,8.92,0.395,0.464,0.859,0.14300000000000002,288,71,24.65,11.02,109,16.93,27.95,28.62,19.19
621112,160,149,636,0.221,33,20.62,9,5.62,0.27,0.349,0.619,0.12799999999999997,309,82,26.54,12.89,88,13.84,26.73,29.57,18.33
666142,168,152,635,0.276,34,20.24,14,8.33,0.341,0.382,0.7230000000000001,0.10599999999999998,271,56,20.66,8.82,104,16.38,25.2,21.28,21.12
689225,145,124,628,0.21,35,24.14,19,13.1,0.312,0.331,0.643,0.12100000000000002,305,75,24.59,11.94,82,13.06,25.0,30.09,16.36
663474,166,145,628,0.228,30,18.07,19,11.45,0.315,0.455,0.77,0.227,262,48,18.32,7.64,119,18.95,26.59,21.45,18.99
670174,165,144,625,0.285,32,19.39,14,8.48,0.356,0.451,0.8069999999999999,0.16600000000000004,306,61,19.93,9.76,84,13.44,23.2,25.6,19.63
668933,162,147,622,0.293,24,14.81,14,8.64,0.352,0.463,0.815,0.17000000000000004,301,48,15.95,7.72,92,14.79,22.51,27.88,13.45
656629,141,118,616,0.153,55,39.01,18,12.77,0.27,0.271,0.541,0.11800000000000002,290,107,36.9,17.37,105,17.05,34.42,27.08,26.57
