Pitch Type,Pitch,Pitch Group,pitches,USG,PA,AB,K,K%,BB,OBP,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway USG,Putaway%,AVG,obp,SLG,OPS,ISO,mlbid
SI,Sinker,FB,60,9.06,19,16,2,10.53,3,15.79,23,1,4.35,1.67,15,25.0,26.67,20.69,6.01,18.18,0.375,0.474,0.688,1.162,0.3129999999999999,545341
CU,Curveball,BR,53,8.01,9,9,4,44.44,0,0.0,19,4,21.05,7.55,14,26.42,33.96,30.0,6.56,33.33,0.333,0.333,0.333,0.666,0.0,545341
ST,Sweeper,BR,38,5.74,7,7,3,42.86,0,0.0,15,5,33.33,13.16,17,44.74,57.89,57.14,4.92,33.33,0.143,0.143,0.143,0.286,0.0,545341
FC,Cutter,FB,36,5.44,13,13,1,7.69,0,0.0,22,2,9.09,5.56,3,8.33,13.89,26.67,3.28,16.67,0.308,0.308,0.385,0.6930000000000001,0.077,545341
KC,Knuckle Curve,BR,10,1.51,2,2,1,50.0,0,0.0,4,3,75.0,30.0,2,20.0,50.0,33.33,1.64,33.33,0.0,0.0,0.0,0.0,0.0,545341
,,,6,0.91,1,0,0,0.0,1,100.0,0,0,,0.0,0,0.0,0.0,,0.0,,,1.0,,,,545341
FS,Split-Finger,OS,6,0.91,3,3,1,33.33,0,0.0,4,1,25.0,16.67,0,0.0,16.67,50.0,2.73,20.0,0.333,0.333,0.333,0.666,0.0,545341
SV,Slurve,BR,2,0.3,0,0,0,,0,,1,1,100.0,50.0,0,0.0,50.0,0.0,0.0,,,,,,,545341
CS,Slow Curve,BR,1,0.15,0,0,0,,0,,0,0,,0.0,0,0.0,0.0,0.0,0.0,,,,,,,545341
FF,4-Seam Fastball,FB,203,42.2,38,32,14,36.84,5,13.16,83,19,22.89,9.36,35,17.24,26.6,12.79,43.79,20.9,0.281,0.368,0.562,0.93,0.281,545361
FC,Cutter,FB,76,15.8,14,12,7,50.0,2,14.29,27,10,37.04,13.16,22,28.95,42.11,20.59,14.38,31.82,0.167,0.286,0.25,0.536,0.0829999999999999,545361
CH,Changeup,OS,56,11.64,14,12,7,50.0,1,7.14,23,12,52.17,21.43,5,8.93,30.36,40.43,14.38,31.82,0.0,0.077,0.0,0.077,0.0,545361
SL,Slider,BR,53,11.02,14,13,5,35.71,1,7.14,19,8,42.11,15.09,11,20.75,35.85,26.67,9.15,35.71,0.154,0.214,0.231,0.445,0.077,545361
SI,Sinker,FB,37,7.69,11,10,3,27.27,1,9.09,12,1,8.33,2.7,11,29.73,32.43,26.67,8.5,23.08,0.3,0.364,0.3,0.6639999999999999,0.0,545361
ST,Sweeper,BR,24,4.99,6,6,2,33.33,0,0.0,8,4,50.0,16.67,6,25.0,41.67,40.0,3.92,33.33,0.5,0.5,0.667,1.167,0.167,545361
CU,Curveball,BR,15,3.12,3,3,1,33.33,0,0.0,4,1,25.0,6.67,4,26.67,33.33,14.29,3.27,20.0,0.0,0.0,0.0,0.0,0.0,545361
,,,6,1.25,2,0,0,0.0,2,100.0,0,0,,0.0,0,0.0,0.0,,0.0,,,1.0,,,,545361
SV,Slurve,BR,4,0.83,1,1,0,0.0,0,0.0,1,0,0.0,0.0,1,25.0,25.0,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,545361
FS,Split-Finger,OS,4,0.83,1,0,0,0.0,1,100.0,1,0,0.0,0.0,0,0.0,0.0,25.0,1.96,0.0,,1.0,,,,545361
KC,Knuckle Curve,BR,2,0.42,1,1,0,0.0,0,0.0,1,0,0.0,0.0,0,0.0,0.0,50.0,0.0,,1.0,1.0,2.0,3.0,1.0,545361
CS,Slow Curve,BR,1,0.21,0,0,0,,0,,0,0,,0.0,0,0.0,0.0,0.0,0.0,,,,,,,545361
SL,Slider,BR,213,25.0,58,54,12,20.69,4,6.9,124,46,37.1,21.6,13,6.1,27.7,40.62,25.7,16.44,0.222,0.276,0.407,0.683,0.1849999999999999,547180
FF,4-Seam Fastball,FB,201,23.59,42,36,12,28.57,5,11.9,107,30,28.04,14.93,18,8.96,23.88,25.49,24.65,17.14,0.361,0.452,0.833,1.285,0.472,547180
SI,Sinker,FB,145,17.02,45,39,4,8.89,6,13.33,83,15,18.07,10.34,22,15.17,25.52,37.29,11.27,12.5,0.205,0.311,0.256,0.567,0.051,547180
ST,Sweeper,BR,129,15.14,33,31,8,24.24,2,6.06,76,32,42.11,24.81,6,4.65,29.46,42.5,17.25,16.33,0.323,0.364,0.548,0.912,0.225,547180
CU,Curveball,BR,71,8.33,23,22,9,39.13,1,4.35,48,22,45.83,30.99,3,4.23,35.21,58.7,9.51,33.33,0.227,0.261,0.273,0.534,0.046,547180
FC,Cutter,FB,39,4.58,13,12,0,0.0,1,7.69,28,7,25.0,17.95,1,2.56,20.51,50.0,3.52,0.0,0.333,0.385,0.667,1.052,0.334,547180
CH,Changeup,OS,30,3.52,10,10,3,30.0,0,0.0,20,7,35.0,23.33,1,3.33,26.67,47.37,5.99,17.65,0.5,0.5,0.7,1.2,0.1999999999999999,547180
KC,Knuckle Curve,BR,12,1.41,3,3,1,33.33,0,0.0,7,4,57.14,33.33,0,0.0,33.33,37.5,1.06,33.33,0.0,0.0,0.0,0.0,0.0,547180
SV,Slurve,BR,8,0.94,1,1,1,100.0,0,0.0,5,5,100.0,62.5,0,0.0,62.5,57.14,0.7,50.0,0.0,0.0,0.0,0.0,0.0,547180
FS,Split-Finger,OS,2,0.23,0,0,0,,0,,1,0,0.0,0.0,0,0.0,0.0,0.0,0.35,0.0,,,,,,547180
KN,Knuckleball,,1,0.12,1,1,0,0.0,0,0.0,1,0,0.0,0.0,0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,547180
,,,1,0.12,0,0,0,,0,,0,0,,0.0,0,0.0,0.0,,0.0,,,,,,,547180
