mlbid,PA,AB,pitches,AVG,K,K%,BB,BB%,obp,SLG,OPS,ISO,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway%
669391,15,12,61,0.25,4,26.67,2,13.33,0.357,0.75,1.107,0.5,30,7,23.33,11.48,10,16.39,27.87,32.35,23.53
672841,16,13,61,0.231,6,37.5,2,12.5,0.375,0.692,1.067,0.46099999999999997,24,8,33.33,13.11,13,21.31,34.43,21.43,40.0
607732,21,20,60,0.45,1,4.76,0,0.0,0.476,0.8,1.276,0.35000000000000003,29,1,3.45,1.67,12,20.0,21.67,33.33,11.11
663978,17,16,60,0.312,5,29.41,1,5.88,0.353,0.375,0.728,0.063,29,9,31.03,15.0,12,20.0,35.0,19.23,26.32
607216,14,12,60,0.167,4,28.57,2,14.29,0.286,0.5,0.786,0.33299999999999996,21,4,19.05,6.67,11,18.33,25.0,9.38,30.77
688427,18,16,60,0.25,6,33.33,2,11.11,0.333,0.562,0.895,0.31200000000000006,25,11,44.0,18.33,12,20.0,38.33,24.24,40.0
674681,16,14,59,0.429,2,12.5,0,0.0,0.5,1.143,1.643,0.714,31,7,22.58,11.86,7,11.86,23.73,31.25,12.5
680232,17,17,59,0.294,1,5.88,0,0.0,0.294,0.353,0.647,0.059,30,2,6.67,3.39,7,11.86,15.25,25.0,6.67
656266,15,14,59,0.214,5,33.33,1,6.67,0.267,0.214,0.481,0.0,24,9,37.5,15.25,11,18.64,33.9,29.03,27.78
663753,14,11,59,0.182,2,14.29,3,21.43,0.357,0.364,0.721,0.182,21,5,23.81,8.47,8,13.56,22.03,16.22,20.0
680573,13,10,58,0.4,4,30.77,2,15.38,0.5,0.6,1.1,0.19999999999999996,28,5,17.86,8.62,8,13.79,22.41,21.43,20.0
669105,17,14,54,0.286,2,11.76,2,11.76,0.412,0.429,0.841,0.14300000000000002,27,7,25.93,12.96,6,11.11,24.07,31.25,18.18
668754,15,14,54,0.214,3,20.0,1,6.67,0.267,0.214,0.481,0.0,25,5,20.0,9.26,12,22.22,31.48,25.0,18.75
592662,12,8,54,0.25,0,0.0,4,33.33,0.5,0.25,0.75,0.0,25,6,24.0,11.11,2,3.7,14.81,31.43,0.0
641149,17,13,52,0.385,2,11.76,3,17.65,0.529,0.615,1.1440000000000001,0.22999999999999998,21,5,23.81,9.62,10,19.23,28.85,31.25,16.67
571912,14,14,51,0.643,0,0.0,0,0.0,0.643,1.643,2.286,1.0,25,2,8.0,3.92,6,11.76,15.69,33.33,0.0
641420,14,12,51,0.333,3,21.43,2,14.29,0.429,0.583,1.012,0.24999999999999994,24,10,41.67,19.61,11,21.57,41.18,45.45,18.75
663629,13,11,51,0.545,1,7.69,2,15.38,0.615,1.0,1.615,0.45499999999999996,21,5,23.81,9.8,8,15.69,25.49,18.52,9.09
641447,16,14,51,0.5,2,12.5,2,12.5,0.562,1.071,1.633,0.571,20,4,20.0,7.84,12,23.53,31.37,9.09,15.38
689167,15,12,50,0.167,0,0.0,3,20.0,0.333,0.25,0.583,0.08299999999999999,21,2,9.52,4.0,7,14.0,18.0,19.23,0.0
666208,9,6,50,0.333,3,33.33,3,33.33,0.556,0.333,0.889,0.0,16,5,31.25,10.0,11,22.0,32.0,27.27,18.75
681517,13,8,50,0.375,2,15.38,4,30.77,0.615,1.0,1.615,0.625,17,6,35.29,12.0,9,18.0,30.0,7.41,25.0
543594,12,11,49,0.455,2,16.67,1,8.33,0.5,0.909,1.409,0.454,25,6,24.0,12.24,7,14.29,26.53,33.33,14.29
521230,12,11,48,0.182,2,16.67,0,0.0,0.167,0.455,0.622,0.273,26,9,34.62,18.75,3,6.25,25.0,35.71,12.5
605155,17,14,47,0.357,2,11.76,3,17.65,0.471,1.0,1.471,0.643,20,5,25.0,10.64,8,17.02,27.66,22.73,28.57
685107,9,7,46,0.286,0,0.0,2,22.22,0.444,0.714,1.158,0.428,20,3,15.0,6.52,4,8.7,15.22,19.23,0.0
