Pitch Type,Pitch,Pitch Group,pitches,USG,PA,AB,K,K%,BB,OBP,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway USG,Putaway%,AVG,obp,SLG,OPS,ISO,mlbid
CH,Changeup,OS,91,7.36,24,24,11,45.83,0,0.0,39,13,33.33,14.29,4,4.4,18.68,30.88,14.56,20.37,0.125,0.125,0.125,0.25,0.0,425844
CS,Slow Curve,BR,1,0.08,0,0,0,,0,,0,0,,0.0,0,0.0,0.0,0.0,0.0,,,,,,,425844
FF,4-Seam Fastball,FB,701,50.54,177,160,27,15.25,12,6.78,358,61,17.04,8.7,119,16.98,25.68,31.19,38.19,17.76,0.225,0.29,0.462,0.752,0.237,434378
SL,Slider,BR,369,26.6,107,95,28,26.17,11,10.28,179,56,31.28,15.18,55,14.91,30.08,30.35,35.93,19.58,0.211,0.29,0.337,0.627,0.126,434378
CU,Curveball,BR,283,20.4,73,69,17,23.29,4,5.48,117,32,27.35,11.31,59,20.85,32.16,30.0,20.85,20.48,0.304,0.342,0.406,0.748,0.102,434378
CH,Changeup,OS,33,2.38,10,10,4,40.0,0,0.0,18,6,33.33,18.18,2,6.06,24.24,27.78,5.03,20.0,0.2,0.2,0.3,0.5,0.0999999999999999,434378
,,,1,0.07,0,0,0,,0,,0,0,,0.0,0,0.0,0.0,,0.0,,,,,,,434378
FC,Cutter,FB,312,82.54,82,74,22,26.83,7,8.54,172,51,29.65,16.35,45,14.42,30.77,33.09,75.44,25.58,0.284,0.354,0.432,0.786,0.148,445276
SL,Slider,BR,42,11.11,9,8,3,33.33,1,11.11,25,13,52.0,30.95,1,2.38,33.33,33.33,17.54,15.0,0.25,0.333,0.375,0.708,0.125,445276
SI,Sinker,FB,22,5.82,7,6,2,28.57,0,0.0,7,1,14.29,4.55,6,27.27,31.82,18.18,7.02,25.0,0.167,0.286,0.167,0.4529999999999999,0.0,445276
,,,2,0.53,1,0,0,0.0,1,100.0,0,0,,0.0,0,0.0,0.0,,0.0,,,1.0,,,,445276
FC,Cutter,FB,163,49.54,34,31,12,35.29,3,8.82,77,29,37.66,17.79,32,19.63,37.42,36.46,48.08,24.0,0.226,0.294,0.355,0.649,0.1289999999999999,445926
SI,Sinker,FB,125,37.99,31,26,6,19.35,4,12.9,37,5,13.51,4.0,43,34.4,38.4,9.38,30.77,18.75,0.346,0.452,0.615,1.067,0.269,445926
CU,Curveball,BR,29,8.81,7,7,4,57.14,0,0.0,16,9,56.25,31.03,2,6.9,37.93,45.0,14.42,26.67,0.143,0.143,0.143,0.286,0.0,445926
CH,Changeup,OS,9,2.74,6,6,2,33.33,0,0.0,7,2,28.57,22.22,0,0.0,22.22,50.0,5.77,33.33,0.0,0.0,0.0,0.0,0.0,445926
FF,4-Seam Fastball,FB,1,0.3,0,0,0,,0,,0,0,,0.0,0,0.0,0.0,0.0,0.96,0.0,,,,,,445926
PO,Pitch Out,,1,0.3,0,0,0,,0,,0,0,,0.0,0,0.0,0.0,0.0,0.0,,,,,,,445926
,,,1,0.3,0,0,0,,0,,0,0,,0.0,0,0.0,0.0,,0.0,,,,,,,445926
SI,Sinker,FB,154,33.92,42,39,2,4.76,2,4.76,67,6,8.96,3.9,34,22.08,25.97,18.18,21.77,7.41,0.359,0.405,0.769,1.174,0.41,446372
CU,Curveball,BR,146,32.16,45,44,15,33.33,1,2.22,79,28,35.44,19.18,27,18.49,37.67,44.16,43.55,27.78,0.205,0.222,0.318,0.54,0.113,446372
FC,Cutter,FB,102,22.47,26,22,0,0.0,4,15.38,50,10,20.0,9.8,10,9.8,19.61,23.64,20.16,0.0,0.364,0.462,1.0,1.462,0.636,446372
CH,Changeup,OS,45,9.91,8,8,3,37.5,0,0.0,24,8,33.33,17.78,3,6.67,24.44,39.39,12.9,18.75,0.125,0.125,0.125,0.25,0.0,446372
FF,4-Seam Fastball,FB,7,1.54,0,0,0,,0,,2,0,0.0,0.0,2,28.57,28.57,25.0,1.61,0.0,,,,,,446372
