Pitch Type,Pitch,Pitch Group,pitches,USG,PA,AB,K,K%,BB,OBP,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway USG,Putaway%,AVG,obp,SLG,OPS,ISO,mlbid
EP,Eephus,,5,83.33,0,0,0,,0,,1,0,0.0,0.0,1,20.0,20.0,0.0,0.0,,,,,,,500743
FA,Other,,1,16.67,1,1,0,0.0,0,0.0,1,0,0.0,0.0,0,0.0,0.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,500743
SI,Sinker,FB,321,53.86,94,84,13,13.83,7,7.45,135,12,8.89,3.74,80,24.92,28.66,19.67,35.67,23.21,0.274,0.337,0.417,0.754,0.1429999999999999,500779
SV,Slurve,BR,161,27.01,44,40,12,27.27,2,4.55,72,21,29.17,13.04,19,11.8,24.84,34.26,38.85,19.67,0.2,0.233,0.375,0.608,0.175,500779
FF,4-Seam Fastball,FB,51,8.56,9,9,2,22.22,0,0.0,22,3,13.64,5.88,5,9.8,15.69,16.67,12.1,10.53,0.222,0.222,0.667,0.889,0.445,500779
CU,Curveball,BR,36,6.04,9,9,2,22.22,0,0.0,18,5,27.78,13.89,5,13.89,27.78,45.0,8.28,15.38,0.333,0.333,0.889,1.222,0.556,500779
CH,Changeup,OS,26,4.36,3,3,0,0.0,0,0.0,8,1,12.5,3.85,3,11.54,15.38,21.05,4.46,0.0,0.333,0.333,0.667,1.0,0.334,500779
,,,1,0.17,0,0,0,,0,,0,0,,0.0,0,0.0,0.0,,0.64,0.0,,,,,,500779
FC,Cutter,FB,320,21.07,71,61,6,8.45,8,11.27,116,17,14.66,5.31,64,20.0,25.31,13.94,10.56,15.79,0.344,0.429,0.557,0.986,0.213,502043
FF,4-Seam Fastball,FB,298,19.62,73,60,9,12.33,10,13.7,94,7,7.45,2.35,61,20.47,22.82,12.42,16.11,15.52,0.283,0.397,0.633,1.03,0.35,502043
SI,Sinker,FB,297,19.55,86,76,18,20.93,9,10.47,126,14,11.11,4.71,59,19.87,24.58,22.22,19.44,25.71,0.289,0.36,0.421,0.7809999999999999,0.132,502043
CH,Changeup,OS,244,16.06,64,56,12,18.75,8,12.5,119,47,39.5,19.26,14,5.74,25.0,35.33,12.78,26.09,0.179,0.281,0.196,0.477,0.017,502043
CU,Curveball,BR,183,12.05,35,32,14,40.0,3,8.57,79,35,44.3,19.13,29,15.85,34.97,35.25,16.11,24.14,0.281,0.343,0.562,0.905,0.281,502043
ST,Sweeper,BR,177,11.65,59,52,20,33.9,6,10.17,90,28,31.11,15.82,21,11.86,27.68,31.0,25.0,22.22,0.212,0.288,0.442,0.73,0.23,502043
FC,Cutter,FB,337,60.61,76,68,31,40.79,8,10.53,139,39,28.06,11.57,88,26.11,37.69,22.44,60.89,28.44,0.147,0.237,0.206,0.4429999999999999,0.059,502085
