year,date,gid,home,away,hPitcher,aPitcher,hLineup,aLineup
2025,2025-04-05,778439,MIL,CIN,660730,663903,"[668930, 694192, 592885, 661388, 686217, 656555, 686554, 669003, 687401]","[670770, 669289, 682829, 666158, 600869, 687952, 641584, 694362, 624431]"
2025,2025-04-05,778451,ATL,MIA,700363,615698,"[671739, 645277, 542303, 621566, 663586, 650559, 686948, 669397, 672284]","[669364, 669065, 672640, 670223, 676572, 665052, 656537, 688363, 689414]"
2025,2025-04-06,778442,COL,ATH,608566,676664,"[686668, 678662, 641857, 696100, 592178, 669911, 571657, 656248, 687597]","[671732, 667670, 668709, 669127, 691016, 805779, 664913, 649966, 680474]"
2025,2025-04-06,778436,SF,SEA,592662,682243,"[664774, 642715, 808982, 656305, 671218, 573262, 527038, 669087, 666149]","[645302, 677594, 663728, 668227, 641598, 456781, 664238, 669208, 641487]"
2025,2025-04-06,778437,LAA,CLE,686799,676440,"[621493, 650859, 545361, 624585, 681351, 694384, 677347, 666176, 641313]","[680757, 608070, 467793, 700932, 666134, 672356, 682177, 666310, 677587]"
2025,2025-04-06,778443,BOS,STL,656794,669467,"[680776, 646240, 608324, 671213, 596115, 608701, 692225, 666152, 657136]","[663457, 671056, 575929, 571448, 663609, 691023, 695336, 687363, 691026]"
2025,2025-04-06,778429,WSH,AZ,592866,669203,"[682928, 671277, 660688, 663993, 695578, 605137, 669743, 657557, 686611]","[682998, 672695, 656976, 647304, 666971, 553993, 677950, 645444, 641658]"
2025,2025-04-06,778432,BOS,STL,690928,571945,"[680776, 646240, 608324, 677800, 596115, 692225, 663853, 665966, 678882]","[663457, 575929, 680977, 571448, 676475, 691023, 686780, 687363, 691026]"
2025,2025-04-06,778434,PHI,LAD,650911,607192,"[656941, 607208, 547180, 596146, 592206, 681082, 624641, 669016, 665561]","[660271, 605141, 669242, 606192, 669257, 624424, 571970, 571771, 681624]"
2025,2025-04-06,778428,PIT,NYY,571760,701542,"[663647, 668804, 665833, 663698, 457705, 665839, 502054, 624428, 643396]","[502671, 641355, 592450, 665862, 683011, 669224, 691176, 672724, 663757]"
2025,2025-04-06,778435,NYM,TOR,656849,670102,"[596019, 665742, 624413, 607043, 608385, 668901, 683146, 642350, 663584]","[666182, 665489, 623993, 665926, 672386, 676391, 676914, 623168, 664702]"
2025,2025-04-06,778433,DET,CWS,695549,527048,"[669234, 628451, 679529, 622534, 693307, 681481, 595879, 668952, 656716]","[643565, 673357, 643217, 683734, 642136, 678246, 681460, 676070, 572191]"
